Number of Peaks,Spectral Centroid,Wavelet Entropy,Lempel_Ziv Complexity,x75th Percentile,Standard Deviation of Spectral Amplitude,Instantaneous Phase Std,File,Segment,SCR_recoveryTime_min,SCR_latency_mean,SCR_latency_std,Rise_Time,Time_to_Peak,SCL_tonic_std,PP,A,D,E,N,P,age,sex,香味,emotion
14991.0,0.200100323404618,9.148224930969258,0.0049597976829591,7.842279450688202,118.55450989104811,0.7675623051165055,5010802.0,1.0,0.0,0.0,0.0,3.043225806,148.0187097,0.6185417617083538,0.0,-0.67,0.0,62.7,54.7,47.2,21.0,2.0,0,无聊
11471.0,45.38019727826261,12.017564923133015,0.015783896997801,11.73385520869395,0.1675458723339764,0.2389130185965304,5010802.0,2.0,0.21,66.61769230769231,66.33408488666652,3.744347826,102.73,0.3543706869447726,-0.75,1.0,2.0,62.7,54.7,47.2,21.0,2.0,0,藐视
15537.0,48.745316874290296,11.309190429933532,0.0096045264489048,9.842375569307334,0.1668150332073098,0.1912821093359032,5010802.0,3.0,0.0999999999999999,188.36545454545453,126.21103894694043,3.516944444,147.3144444,0.2751851413195422,-0.25,0.0,1.5,62.7,54.7,47.2,21.0,2.0,无香,依赖
15404.0,0.1785433179904922,9.148574317061104,0.0033877889462345,6.844107311752686,171.62409612766544,0.7564201459847303,5020731.0,1.0,0.0,0.0,0.0,3.164375,153.6396875,0.6275703922691526,-1.25,-0.67,-0.75,62.7,54.7,47.2,21.0,2.0,0,悲伤
15033.0,48.030429532406174,12.308164588608024,0.0158317853276547,10.935515669511169,0.1668589702287225,0.1933636590854234,5020731.0,2.0,0.3500000000000014,115.16216216216216,81.43210755759058,3.144193548,174.3325806,0.2850303974922399,0.25,0.25,-2.0,62.7,54.7,47.2,21.0,2.0,0,悲伤
15037.0,49.719774499948535,10.300195581018064,0.0044517537507084,6.474566022220559,0.1668421909396444,0.4502299957517017,5020731.0,3.0,2.0999999999999943,134.382,4.618871723700498,3.084827586,147.7758621,0.6149058524854377,-1.0,-1.25,-2.25,62.7,54.7,47.2,21.0,2.0,柠檬,无聊
15030.0,0.2103545779274085,9.148363019857316,0.0029689947521731,6.327107179402198,103.2602362691694,0.7315169987413828,5030803.0,1.0,0.0,0.0,0.0,3.1240625,152.7540625,0.6277452319599479,0.5,1.0,0.5,62.7,54.7,47.2,21.0,2.0,0,惊奇
9065.0,47.76622874459582,11.433821936611285,0.0195045367939085,8.718513843468747,0.1668835338100791,0.2725484166757447,5030803.0,2.0,0.0999999999999943,81.21095238095238,81.63273578334811,3.199473684,74.84105263,0.3910054481055229,0.0,1.5,0.75,62.7,54.7,47.2,21.0,2.0,0,恐惧
15137.0,49.855168838524335,9.79929801533345,0.0029501250548906,3.146670838501298,0.1668589378731011,0.7808478442981566,5030803.0,3.0,0.079999999999984,274.6505263157895,29.73021517681689,2.978611111,151.4375,0.6747100720027717,0.25,-0.5,-1.5,62.7,54.7,47.2,21.0,2.0,薰衣草,无聊
441.0,0.1301768472714285,9.147979364670404,0.0024731965281713,8.051690209318211,112.72659286244202,0.6979404046570069,5040801.0,1.0,0.0,0.0,0.0,3.165517241,145.1551724,0.5911108997645881,-0.5,-0.33,-0.25,62.7,54.7,47.2,21.0,2.0,0,悲伤
